,Job Title,Salary Estimate,Location
333,Data Analyst/Data Scanning with Financial Industry exp,$42K-$74K (Glassdoor est.),"New York, NY"
334,"Sr Business Analyst, Data Science",$42K-$74K (Glassdoor est.),"Jersey City, NJ"
335,Senior Data Analyst - Data Governance,$42K-$74K (Glassdoor est.),"New York, NY"
336,"Senior Manager, Data Analyst",$42K-$74K (Glassdoor est.),"New York, NY"
337,Senior Business Intelligence & Data Science Analyst,$42K-$74K (Glassdoor est.),"New York, NY"
338,Risk Adjustment Data Analyst,$42K-$74K (Glassdoor est.),"Newark, NJ"
339,Data Analyst III,$42K-$74K (Glassdoor est.),"Lake Success, NY"
340,"Sr. Data Analyst, Retail Media",$77K-$132K (Glassdoor est.),"New York, NY"
341,Sr IT Technical Data Analyst,$77K-$132K (Glassdoor est.),"New York, NY"
342,Senior Marketing Data Analyst,$77K-$132K (Glassdoor est.),"New York, NY"
343,Data Analyst III,$77K-$132K (Glassdoor est.),"New York, NY"
344,TX Healthcare Data/Reporting Analyst,$77K-$132K (Glassdoor est.),"New York, NY"
345,Senior SQL Data Warehouse Analyst,$77K-$132K (Glassdoor est.),"New York, NY"
346,Data Analyst Junior,$77K-$132K (Glassdoor est.),"New York, NY"
347,SR. Power BI with DAX - Data Analyst,$77K-$132K (Glassdoor est.),"New York, NY"
348,Informatica IDQ - Data Quality Analyst (Contract),$77K-$132K (Glassdoor est.),"New York, NY"
349,"Senior Solutions Analyst, Data Specialist",$77K-$132K (Glassdoor est.),"New York, NY"
350,Operations data analyst,$77K-$132K (Glassdoor est.),"New York, NY"
351,HR Data Analyst,$77K-$132K (Glassdoor est.),"Jersey City, NJ"
352,Healthcare Senior Data Analyst - HEDIS,$77K-$132K (Glassdoor est.),"New York, NY"
353,Senior Data Quality Analyst,$77K-$132K (Glassdoor est.),"Secaucus, NJ"
354,Financial Data Analyst - Accounting ll,$77K-$132K (Glassdoor est.),"New York, NY"
355,Data Analyst - Litigation,$77K-$132K (Glassdoor est.),"New York, NY"
356,Quantitative Data Analyst/Developer,$77K-$132K (Glassdoor est.),"New York, NY"
357,"Sr Business Data Analyst SAP, SKU, Supply Chain",$77K-$132K (Glassdoor est.),"New York, NY"
358,"Senior Data Analyst, Gas Planning and Design Engineering",$77K-$132K (Glassdoor est.),"Brooklyn, NY"
359,Data Analyst - Cardiac Cath Lab,$77K-$132K (Glassdoor est.),"West Orange, NJ"
360,Senior Data Business Analyst,$77K-$132K (Glassdoor est.),"New York, NY"
361,Business Analyst/Data Analyst - Capital Markets Data,$77K-$132K (Glassdoor est.),"Jersey City, NJ"
362,"Firmwide Reference Data Operations, Pricing Operations, Analyst",$77K-$132K (Glassdoor est.),"Newark, NJ"
363,Senior Healthcare Data Analyst,$77K-$132K (Glassdoor est.),"New York, NY"
364,"Data Analyst, Quality & Patient Safety",$77K-$132K (Glassdoor est.),"Far Rockaway, NY"
365,Senior Data Analyst - FHC - Family Support Center,$77K-$132K (Glassdoor est.),"New York, NY"
366,QA Data Analyst,$77K-$132K (Glassdoor est.),"Lake Success, NY"
367,Sr Data Analyst for Customer Based Management,$77K-$132K (Glassdoor est.),"Long Island City, NY"
368,"Data Analyst/Project Manager in Jersey City, New Jersey | Careers at Harborside",$77K-$132K (Glassdoor est.),"Jersey City, NJ"
369,Senior Financial Analyst - Enterprise Data,$98K-$114K (Glassdoor est.),"New York, NY"
370,Data Analyst with Data Lineage/Rochade,$98K-$114K (Glassdoor est.),"Florham Park, NJ"
371,Senior Market Data Content Acquisition/Procurement Analyst,$98K-$114K (Glassdoor est.),"New York, NY"
372,Sr. Specialist Reporting Data Analyst /Engineer - Cloud,$98K-$114K (Glassdoor est.),"Florham Park, NJ"
373,"Senior Business Analyst, Data Management",$98K-$114K (Glassdoor est.),"Woodbridge, NJ"
374,Data Science Analyst II - Mount Sinai Health Partners,$98K-$114K (Glassdoor est.),"New York, NY"
375,NY Healthcare Data/Reporting Analyst,$98K-$114K (Glassdoor est.),"New York, NY"
376,Data Analyst,$98K-$114K (Glassdoor est.),"Parsippany, NJ"
377,Technical Business Analyst with Retail Banking and Large Data Program,$98K-$114K (Glassdoor est.),"New York, NY"
378,Principal Sales Operations Analyst - Oracle Data Cloud,$98K-$114K (Glassdoor est.),"New York, NY"
379,QA Production Data Analyst,$98K-$114K (Glassdoor est.),"New York, NY"
380,JPSC-7462 - Data Analyst Lead - Sr. Tableau Lead,$98K-$114K (Glassdoor est.),"Whippany, NJ"
381,Data Services Lead Analyst,$98K-$114K (Glassdoor est.),"New York, NY"
382,"Sr Data Analyst, Go-Live",$98K-$114K (Glassdoor est.),"New York, NY"
383,Data Analyst III- SAS req'd,$98K-$114K (Glassdoor est.),"Great Neck, NY"
384,Senior Healthcare Data Analyst,$98K-$114K (Glassdoor est.),"New York, NY"
385,Regulatory Risk Management Data Analytics and Reporting Analyst,$98K-$114K (Glassdoor est.),"New York, NY"
386,NY Healthcare Data/Reporting Analyst,$98K-$114K (Glassdoor est.),"New York, NY"
387,"Specialist, Data and Reporting Analyst - IT Change Management",$98K-$114K (Glassdoor est.),"Florham Park, NJ"
388,Datastage Developer/Consultant/IBM Websphere Datastage Developer(ETL Data Analyst)-Only Local to NY/,$98K-$114K (Glassdoor est.),"Jersey City, NJ"
389,Data Analyst III- SAS req'd,$98K-$114K (Glassdoor est.),"Lake Success, NY"
390,Data Warehouse systems analyst,$98K-$114K (Glassdoor est.),"New York, NY"
391,TX Healthcare Data/Reporting Analyst,$98K-$114K (Glassdoor est.),"New York, NY"
392,NY Healthcare Data/Reporting Analyst,$98K-$114K (Glassdoor est.),"New York, NY"
393,Sr. Data Analyst - RWE,$98K-$114K (Glassdoor est.),"Hoboken, NJ"
394,Data Migration Lead/ Analyst (migration of data to the new target system),$98K-$114K (Glassdoor est.),"New York, NY"
395,Senior Data Analytics Solutions Analyst,$98K-$114K (Glassdoor est.),"New York, NY"
396,Technical Analyst - Access/Identity Data Security,$98K-$114K (Glassdoor est.),"Hoboken, NJ"
397,Data Analyst - Cardiac Cath Lab,$98K-$114K (Glassdoor est.),"West Orange, NJ"
398,Data Quality Management Analyst,$98K-$114K (Glassdoor est.),"New York, NY"
399,"Business Analyst (SQL/SQL TOAD, Excel, XML, X12, HL7 messaging, data quality analysis)",$48K-$96K (Glassdoor est.),"New York, NY"
400,Senior Teradata Developer / Data Analyst,$48K-$96K (Glassdoor est.),"Jersey City, NJ"
401,Data & Interface Analyst,$48K-$96K (Glassdoor est.),"Staten Island, NY"
402,NY Healthcare Data/Reporting Analyst,$48K-$96K (Glassdoor est.),"New York, NY"
403,Healthcare Senior Data Analyst - HEDIS,$48K-$96K (Glassdoor est.),"New York, NY"
404,Data Analyst (Must have PL/SQL and Healthcare background),$48K-$96K (Glassdoor est.),"New York, NY"
405,Data Analyst / IT Data & Business Intelligence,$48K-$96K (Glassdoor est.),"Harrison, NY"
406,Sr. Specialist Reporting Data Analyst -Technology,$48K-$96K (Glassdoor est.),"Florham Park, NJ"
407,Sr. Programmer Analyst - Big Data,$48K-$96K (Glassdoor est.),"Jersey City, NJ"
408,Senior Data Analyst - FHC - Family Support Center,$48K-$96K (Glassdoor est.),"Brooklyn, NY"
409,Data Analyst â Junior,$48K-$96K (Glassdoor est.),"New York, NY"
410,Sr. Principal Metrics Analyst- Data Scientist,$48K-$96K (Glassdoor est.),"New York, NY"
411,Product & Pricing Data Analyst,$48K-$96K (Glassdoor est.),"Iselin, NJ"
412,SAP Data Analyst,$48K-$96K (Glassdoor est.),"Montvale, NJ"
413,"Senior Data Analyst (E-commerce, Marketing)",$48K-$96K (Glassdoor est.),"Whippany, NJ"
414,Clinical Data Designer (Sr. SDTM Programmer/Analyst),$48K-$96K (Glassdoor est.),"Woodcliff Lake, NJ"
415,Senior Data Analytics Solutions Analyst with Security Clearance,$48K-$96K (Glassdoor est.),"New York, NY"
416,"JPSC-7176 - Position 35, 59, 62, 100,101,102, 141,142,166 : Senior Data Analyst",$48K-$96K (Glassdoor est.),"Brooklyn, NY"
417,Senior Billing Data Analyst,$48K-$96K (Glassdoor est.),"Bronx, NY"
418,Master Data Analyst,$48K-$96K (Glassdoor est.),"Parsippany, NJ"
419,Sr. Data Analyst,$48K-$96K (Glassdoor est.),"Franklin Lakes, NJ"
420,"Senior Functional Analyst SAP Data design, SD/MM/PP",$48K-$96K (Glassdoor est.),"New York, NY"
421,Data Analyst,$26K-$47K (Glassdoor est.),"Salt Lake City, UT"
422,Data Analyst,$26K-$47K (Glassdoor est.),"West Jordan, UT"
423,Data Analyst,$26K-$47K (Glassdoor est.),"Salt Lake City, UT"
424,Data Analyst,$26K-$47K (Glassdoor est.),"Salt Lake City, UT"
425,Data Analyst,$26K-$47K (Glassdoor est.),"Salt Lake City, UT"
426,Data Analyst,$26K-$47K (Glassdoor est.),"Salt Lake City, UT"
427,Data Engineer / Data Analyst,$26K-$47K (Glassdoor est.),"Salt Lake City, UT"
428,Junior Data Analyst,$26K-$47K (Glassdoor est.),"Lehi, UT"
429,Data Analyst,$26K-$47K (Glassdoor est.),"Salt Lake City, UT"
430,Data Analyst : 20,$26K-$47K (Glassdoor est.),"Salt Lake City, UT"
431,Data Intelligence - Product Data Quality Analyst (DE - RefData) - Data as a Service,$26K-$47K (Glassdoor est.),"Salt Lake City, UT"
432,Data Engineer/Data Analyst (REMOTE/Eventually Onsite),$26K-$47K (Glassdoor est.),"Salt Lake City, UT"
433,Data Engineer/Analyst,$26K-$47K (Glassdoor est.),"Salt Lake City, UT"
434,Quality Data Analyst,$26K-$47K (Glassdoor est.),"Salt Lake City, UT"
435,Technical Data Analyst/Architect,$26K-$47K (Glassdoor est.),"Lehi, UT"
436,Data Governance Analyst II,$26K-$47K (Glassdoor est.),"Salt Lake City, UT"
437,Big Data Analyst,$26K-$47K (Glassdoor est.),"Salt Lake City, UT"
438,Senior Data Analyst,$26K-$47K (Glassdoor est.),"Salt Lake City, UT"
439,Data Analyst,$26K-$47K (Glassdoor est.),"Salt Lake City, UT"
440,"Data Analyst at Salt Lake City, UT",$26K-$47K (Glassdoor est.),"Salt Lake City, UT"
441,Senior Data Analyst,$26K-$47K (Glassdoor est.),"Draper, UT"
442,Data Scientist/Analyst - Noke,$26K-$47K (Glassdoor est.),"Lehi, UT"
443,Data Analyst - W2 candidate,$26K-$47K (Glassdoor est.),"American Fork, UT"
444,Senior Data Analyst,$26K-$47K (Glassdoor est.),"Salt Lake City, UT"
445,Marketing Coordinator / Data Analyst,$26K-$47K (Glassdoor est.),"Sandy, UT"
446,Senior Data Analyst,$26K-$47K (Glassdoor est.),"Salt Lake City, UT"
447,Financial Data Analyst,$26K-$47K (Glassdoor est.),"Lehi, UT"
448,Special Operations (LREC) Incentives and Proficiency Data Analyst,$26K-$47K (Glassdoor est.),"Riverton, UT"
449,Senior Data Analyst,$26K-$47K (Glassdoor est.),"Draper, UT"
450,a. Senior Data and Business Analyst,$31K-$59K (Glassdoor est.),"Salt Lake City, UT"
451,Fund Data Analyst,$31K-$59K (Glassdoor est.),"Lehi, UT"
452,Sr Python Data Analyst(no c2c) contract w2 only,$31K-$59K (Glassdoor est.),"Salt Lake City, UT"
453,TX Healthcare Data/Reporting Analyst,$31K-$59K (Glassdoor est.),"Salt Lake City, UT"
454,Data Analyst,$47K-$81K (Glassdoor est.),"Reedley, CA"
455,"Data Analyst, District Office - Accountability Office",$47K-$81K (Glassdoor est.),"Visalia, CA"
456,Data Analyst (Kings County),$47K-$81K (Glassdoor est.),"Hanford, CA"
457,Tactical Data Link (TDL) Analyst,$43K-$69K (Glassdoor est.),"Hampton, VA"
458,Data Analyst,$43K-$69K (Glassdoor est.),"Hampton, VA"
459,Data Science Analyst,$43K-$69K (Glassdoor est.),"Norfolk, VA"
460,Junior Data Analyst,$43K-$69K (Glassdoor est.),"Hampton, VA"
461,Junior Data Analyst,$43K-$69K (Glassdoor est.),"Hampton, VA"
462,Jr Data Analyst,$43K-$69K (Glassdoor est.),"Portsmouth, VA"
463,Data Science Analyst,$43K-$69K (Glassdoor est.),"Norfolk, VA"
464,Data Analyst,$43K-$69K (Glassdoor est.),"Norfolk, VA"
465,Data Analyst,$43K-$69K (Glassdoor est.),"Norfolk, VA"
466,Data Analyst,$43K-$69K (Glassdoor est.),"Hampton, VA"
467,Data Analyst,$43K-$69K (Glassdoor est.),"Portsmouth, VA"
468,Data Analyst,$43K-$69K (Glassdoor est.),"Chesapeake, VA"
469,Finance Data Analytics Analyst,$43K-$69K (Glassdoor est.),"Smithfield, VA"
470,Business Intelligence/Data Analyst with Security Clearance,$43K-$69K (Glassdoor est.),"Suffolk, VA"
471,Research & Data Analyst,$43K-$69K (Glassdoor est.),"Norfolk, VA"
472,Metrics & Data Analyst,$43K-$69K (Glassdoor est.),"Norfolk, VA"
473,Tactical Data Link (TDL) Analyst-,$43K-$69K (Glassdoor est.),"Hampton, VA"
474,Senior Data Analyst- Secret Clearance-,$43K-$69K (Glassdoor est.),"Norfolk, VA"
475,Data Analyst Junior,$43K-$69K (Glassdoor est.),"Hampton, VA"
476,HQ Data Analyst,$43K-$69K (Glassdoor est.),"Newport News, VA"
477,USMTF Data Analyst,$43K-$69K (Glassdoor est.),"Hampton, VA"
478,Mid Data Analyst,$43K-$69K (Glassdoor est.),"Portsmouth, VA"
479,Product Data Business Analyst,$43K-$69K (Glassdoor est.),"Newport News, VA"
480,Retail Data Quality Analyst,$43K-$69K (Glassdoor est.),"Hampton, VA"
481,USMTF Data Analyst with Security Clearance,$43K-$69K (Glassdoor est.),"Hampton, VA"
482,Senior Data Strategy Analyst (SDSA),$43K-$69K (Glassdoor est.),"Norfolk, VA"
483,Data Analyst - Va Beach - VA with Security Clearance,$43K-$69K (Glassdoor est.),"Virginia Beach, VA"
484,Configuration and Data Management (C&DM) Analyst,$43K-$69K (Glassdoor est.),"Hampton, VA"
485,Jr Management Analyst (Data Management),$43K-$69K (Glassdoor est.),"Yorktown, VA"
486,Senior Data Analyst,$43K-$69K (Glassdoor est.),"Portsmouth, VA"
487,Tactical Data Link (TDL) Analyst,$49K-$112K (Glassdoor est.),"Hampton, VA"
488,Sr Data Business Analyst - FacilitySource,$49K-$112K (Glassdoor est.),"Chesapeake, VA"
489,Acoustics Data Analyst/Flight Test Engineer,$49K-$112K (Glassdoor est.),"Hampton, VA"
490,Senior Data Analyst,$49K-$112K (Glassdoor est.),"Norfolk, VA"
491,Senior Data Analyst- Secret Clearance,$49K-$112K (Glassdoor est.),"Norfolk, VA"
492,Senior Data Management Analyst (SDMA),$49K-$112K (Glassdoor est.),"Norfolk, VA"
493,Data Analyst - Senior Consultant,$49K-$112K (Glassdoor est.),"Norfolk, VA"
494,Data Warehouse Programmer/Analyst,$49K-$112K (Glassdoor est.),"Fort Eustis, VA"
495,Data Analyst (Navy) - Mid and Junior Level,$49K-$112K (Glassdoor est.),"Portsmouth, VA"
496,"Data Analyst - Senior Consultant - Norfolk, VA with Security Clearance",$49K-$112K (Glassdoor est.),"Norfolk, VA"
497,Program Analyst - AIS/Maintenance Data System Coordinator,$49K-$112K (Glassdoor est.),"Norfolk, VA"
498,MSC Logistics Data Analyst,$49K-$112K (Glassdoor est.),"Norfolk, VA"
499,Data Analyst (Navy) - Mid Level,$49K-$112K (Glassdoor est.),"Portsmouth, VA"
500,Business Intelligence & Data Analyst,$49K-$112K (Glassdoor est.),"Norfolk, VA"
501,Sr Data Business Analyst - FacilitySource,$49K-$112K (Glassdoor est.),"Chesapeake, VA"
502,Senior Data Analyst (Navy),$49K-$112K (Glassdoor est.),"Portsmouth, VA"
503,NIWC Service Desk Analyst Component Enterprise Data Center (CEDC with Security Clearance,$49K-$112K (Glassdoor est.),"Norfolk, VA"
504,NIWC Service Desk Analyst Component Enterprise Data Center (CEDC).,$49K-$112K (Glassdoor est.),"Norfolk, VA"
505,Junior Data Analyst,$30K-$54K (Glassdoor est.),"Gainesville, FL"
506,Data Analyst,$30K-$54K (Glassdoor est.),"Gainesville, FL"
507,Data Analyst,$30K-$54K (Glassdoor est.),"Gainesville, FL"
508,AvMed Data Governance Analyst,$30K-$54K (Glassdoor est.),"Gainesville, FL"
509,Data Management Analyst II,$30K-$54K (Glassdoor est.),"Alachua, FL"
510,Data Analyst Junior,$30K-$54K (Glassdoor est.),"Gainesville, FL"
511,Data Analyst â Junior,$30K-$54K (Glassdoor est.),"Gainesville, FL"
512,IT Analyst III Data Systems,$30K-$54K (Glassdoor est.),"Gainesville, FL"
513,Product Data Analyst,$55K-$103K (Glassdoor est.),"El Segundo, CA"
514,Lead Data Analyst,$55K-$103K (Glassdoor est.),"Santa Monica, CA"
515,Data Analytics Insights Analyst,$55K-$103K (Glassdoor est.),"Los Angeles, CA"
516,Data Analyst,$55K-$103K (Glassdoor est.),"Los Angeles, CA"
517,Data Analyst,$55K-$103K (Glassdoor est.),"Hermosa Beach, CA"
518,Data Analyst,$55K-$103K (Glassdoor est.),"Los Angeles, CA"
519,Product Data & Insights Analyst,$55K-$103K (Glassdoor est.),"Gardena, CA"
520,Survey Data Analyst,$55K-$103K (Glassdoor est.),"Los Angeles, CA"
521,Senior Data Analyst,$55K-$103K (Glassdoor est.),"Los Angeles, CA"
522,Data Analyst,$55K-$103K (Glassdoor est.),"Burbank, CA"
523,Data Analyst,$55K-$103K (Glassdoor est.),"Los Angeles, CA"
524,Data and Policy Analyst - Statistical Programmer,$55K-$103K (Glassdoor est.),"Los Angeles, CA"
525,Data Analyst,$55K-$103K (Glassdoor est.),"Los Angeles, CA"
526,"Senior Data Analyst, Marketing",$55K-$103K (Glassdoor est.),"Los Angeles, CA"
527,Data Analyst,$55K-$103K (Glassdoor est.),"Los Angeles, CA"
528,Data Analyst,$55K-$103K (Glassdoor est.),"Los Angeles, CA"
529,Data Analyst,$55K-$103K (Glassdoor est.),"Los Angeles, CA"
530,Data Analyst,$55K-$103K (Glassdoor est.),"Culver City, CA"
531,Data Analyst,$55K-$103K (Glassdoor est.),"Los Angeles, CA"
532,Data Analyst,$55K-$103K (Glassdoor est.),"Glendale, CA"
533,Data Analyst,$55K-$103K (Glassdoor est.),"Los Angeles, CA"
534,Senior Database Analyst - Data Warehouse,$55K-$103K (Glassdoor est.),"Los Angeles, CA"
535,Data Analyst,$55K-$103K (Glassdoor est.),"Los Angeles, CA"
536,Data Analyst,$55K-$103K (Glassdoor est.),"El Segundo, CA"
537,Data Analyst – Finance,$55K-$103K (Glassdoor est.),"El Segundo, CA"
538,Data Analyst,$55K-$103K (Glassdoor est.),"El Segundo, CA"
539,Data Analyst,$55K-$103K (Glassdoor est.),"Santa Monica, CA"
540,Data Analyst,$55K-$103K (Glassdoor est.),"Los Angeles, CA"
541,Data and Reporting Analyst,$55K-$103K (Glassdoor est.),"Inglewood, CA"
542,Data Analyst,$37K-$70K (Glassdoor est.),"Los Angeles, CA"
543,Advanced Data Analytics Analyst,$37K-$70K (Glassdoor est.),"Glendale, CA"
544,Data Analyst,$37K-$70K (Glassdoor est.),"Los Angeles, CA"
545,Data Analyst,$37K-$70K (Glassdoor est.),"Los Angeles, CA"
546,Data Analyst,$37K-$70K (Glassdoor est.),"Glendale, CA"
547,Data Analyst,$37K-$70K (Glassdoor est.),"Los Angeles, CA"
548,Senior Data Intelligence Analyst,$37K-$70K (Glassdoor est.),"Los Angeles, CA"
549,"Sr. Data Analyst, Consumer Applications",$37K-$70K (Glassdoor est.),"Venice, CA"
550,Data Governance Analyst,$37K-$70K (Glassdoor est.),"Pasadena, CA"
551,Data Analyst,$37K-$70K (Glassdoor est.),"Pasadena, CA"
552,"Senior Data Analyst, Data Insights",$37K-$70K (Glassdoor est.),"Santa Monica, CA"
553,Data Analyst,$37K-$70K (Glassdoor est.),"El Segundo, CA"
554,Workday Technical Analyst- Data Conversions,$37K-$70K (Glassdoor est.),"Los Angeles, CA"
555,Data Analyst Healthcare - Experienced or Entry Level,$37K-$70K (Glassdoor est.),"Cerritos, CA"
556,Woocommerce Data Governance Analyst,$37K-$70K (Glassdoor est.),"Los Angeles, CA"
557,"Analyst, Data Operations",$37K-$70K (Glassdoor est.),"Burbank, CA"
558,Data Analyst,$37K-$70K (Glassdoor est.),"Carson, CA"
559,Data Analyst,$37K-$70K (Glassdoor est.),"Irwindale, CA"
560,Data Analyst (Apex Legends),$37K-$70K (Glassdoor est.),"Los Angeles, CA"
561,Data Intelligence Analyst II ( Epic Certification Required ),$37K-$70K (Glassdoor est.),"Los Angeles, CA"
562,Market Data Analyst,$37K-$70K (Glassdoor est.),"Los Angeles, CA"
563,"Sr Analyst, Data Operations",$37K-$70K (Glassdoor est.),"Burbank, CA"
564,Data Analyst (Ryan White),$37K-$70K (Glassdoor est.),"Los Angeles, CA"
565,Senior Data Analyst,$37K-$70K (Glassdoor est.),"Los Angeles, CA"
566,"Data System Analyst I, LACERA (Senior Java Developer)",$37K-$70K (Glassdoor est.),"Pasadena, CA"
567,Data Analyst,$37K-$70K (Glassdoor est.),"Anaheim, CA"
568,Data Analyst,$37K-$70K (Glassdoor est.),"Burbank, CA"
569,Data Analyst,$37K-$70K (Glassdoor est.),"El Segundo, CA"
570,Junior Data Analyst,$37K-$70K (Glassdoor est.),"Los Angeles, CA"
571,Data Analyst,$57K-$103K (Glassdoor est.),"Irwindale, CA"
572,Marketing Data Analyst,$57K-$103K (Glassdoor est.),"Los Angeles, CA"
573,Data and Policy Analyst - Writer/Coordinator,$57K-$103K (Glassdoor est.),"Los Angeles, CA"
574,Sr. Data/Report System Analyst,$57K-$103K (Glassdoor est.),"Beverly Hills, CA"
575,Equity Data/Research Analyst,$57K-$103K (Glassdoor est.),"Los Angeles, CA"
576,Senior Data Analyst,$57K-$103K (Glassdoor est.),"Los Angeles, CA"
577,Data Analyst,$57K-$103K (Glassdoor est.),"Anaheim, CA"
578,Data Analyst - (Python),$57K-$103K (Glassdoor est.),"Long Beach, CA"
579,Data Analyst / Developer,$57K-$103K (Glassdoor est.),"Los Angeles, CA"
580,Data Analyst I,$57K-$103K (Glassdoor est.),"Los Angeles, CA"
581,Senior Data Analyst,$57K-$103K (Glassdoor est.),"Los Angeles, CA"
582,Senior Data Analyst,$57K-$103K (Glassdoor est.),"Los Angeles, CA"
583,Billingual Chinese - Data Analyst,$57K-$103K (Glassdoor est.),"Los Angeles, CA"
584,Senior Data Analyst,$57K-$103K (Glassdoor est.),"Los Angeles, CA"
585,Reporting Data Analyst,$57K-$103K (Glassdoor est.),"El Segundo, CA"
586,Public Policy Data Analyst,$57K-$103K (Glassdoor est.),"Los Angeles, CA"
587,Epidemiologist Data Analyst-Urology,$57K-$103K (Glassdoor est.),"Los Angeles, CA"
588,Data Analyst I,$57K-$103K (Glassdoor est.),"Northridge, CA"
589,Data Systems Analyst,$57K-$103K (Glassdoor est.),"Los Angeles, CA"
590,"Data Analyst, Predictive Analytics",$57K-$103K (Glassdoor est.),"Los Angeles, CA"
591,Data Reporting Analyst,$57K-$103K (Glassdoor est.),"Los Angeles, CA"
592,Senior Data Analyst,$57K-$103K (Glassdoor est.),"Los Angeles, CA"
593,Business Data Analyst,$57K-$103K (Glassdoor est.),"Los Angeles, CA"
594,Business Data Analyst,$57K-$103K (Glassdoor est.),"Los Angeles, CA"
595,Epidemiologist Data Analyst-Urology,$57K-$103K (Glassdoor est.),"Los Angeles, CA"
596,Mid-Senior Data Analyst,$57K-$103K (Glassdoor est.),"Los Angeles, CA"
597,Associate Player Support Data Analyst,$57K-$103K (Glassdoor est.),"El Segundo, CA"
598,BI/Data Analyst,$57K-$103K (Glassdoor est.),"Los Angeles, CA"
599,"Sr. Data Analyst, Ad Operations",$57K-$103K (Glassdoor est.),"Venice, CA"
600,Data Analyst Junior,$35K-$45K (Glassdoor est.),"Los Angeles, CA"
601,"Customer Insights Manager, Senior Data Analyst | Mobile",$35K-$45K (Glassdoor est.),"Los Angeles, CA"
602,Research Sr. Data Analyst - Kaiser Permanente Bernard J. Tyson School of Medicine,$35K-$45K (Glassdoor est.),"Pasadena, CA"
603,"Senior Business Technology Analyst - Big Data (Los Angeles area, CA)",$35K-$45K (Glassdoor est.),"Los Angeles, CA"
604,Financial Data Analyst,$35K-$45K (Glassdoor est.),"El Segundo, CA"
605,Enterprise Data Quality Analyst - EDM,$35K-$45K (Glassdoor est.),"Los Angeles, CA"
606,Survey Data Analyst,$35K-$45K (Glassdoor est.),"Los Angeles, CA"
607,Data Analyst/SQL/Healthcare Or Medical OR Clinical,$35K-$45K (Glassdoor est.),"Pasadena, CA"
608,Data Analyst Manager,$35K-$45K (Glassdoor est.),"Los Angeles, CA"
609,Enterprise Data Analyst,$35K-$45K (Glassdoor est.),"Los Angeles, CA"
610,MEDIA DATA ANALYST,$35K-$45K (Glassdoor est.),"Los Angeles, CA"
611,Data Analyst - Personalization,$35K-$45K (Glassdoor est.),"Los Angeles, CA"
612,Data Systems Analyst III,$35K-$45K (Glassdoor est.),"Los Angeles, CA"
613,Data Analyst / Developer,$35K-$45K (Glassdoor est.),"Los Angeles, CA"
614,Senior Data Bi Analyst,$35K-$45K (Glassdoor est.),"Alhambra, CA"
615,"Operations Analyst, Data Governance",$35K-$45K (Glassdoor est.),"Burbank, CA"
616,"Analyst, Data (Pharmacy & SQL)",$35K-$45K (Glassdoor est.),"Long Beach, CA"
617,"Sr. Business Analyst, Data Science and Analytics",$35K-$45K (Glassdoor est.),"Santa Monica, CA"
618,Enterprise Data Quality Analyst - EDM,$35K-$45K (Glassdoor est.),"Los Angeles, CA"
619,Microsoft Dynamics CRM Data Analyst,$35K-$45K (Glassdoor est.),"Los Angeles, CA"
620,"Marketing Data Analyst, Teleflora",$35K-$45K (Glassdoor est.),"Los Angeles, CA"
621,Senior Customer Data Analyst : 20,$35K-$45K (Glassdoor est.),"Los Angeles, CA"
622,REMOTE Data Analyst - POWER BI+MONGO+ DAX EXPERIENCE,$35K-$45K (Glassdoor est.),"Santa Monica, CA"
623,Senior Data Analyst - User Growth,$35K-$45K (Glassdoor est.),"Los Angeles, CA"
624,Automotive Data Analyst,$35K-$45K (Glassdoor est.),"El Segundo, CA"
625,Data Analyst - Product,$35K-$45K (Glassdoor est.),"Brea, CA"
626,"Sr. Analyst, Data",$35K-$45K (Glassdoor est.),"Long Beach, CA"
627,Senior Data Insights Analyst,$35K-$45K (Glassdoor est.),"El Segundo, CA"
628,Bilingual (Chinese) Data Analyst,$42K-$66K (Glassdoor est.),"Los Angeles, CA"
629,Systems and Data Analyst - SQL,$42K-$66K (Glassdoor est.),"Duarte, CA"
630,Data Entry Analyst,$42K-$66K (Glassdoor est.),"Woodland Hills, CA"
631,"Sr Analyst, Data Operations",$42K-$66K (Glassdoor est.),"Burbank, CA"
632,Data Intelligence Analyst II,$42K-$66K (Glassdoor est.),"Los Angeles, CA"
633,Business Analyst / Data Analyst with Financial Industry Experience,$42K-$66K (Glassdoor est.),"Monterey Park, CA"
634,Sr. Data Analyst,$42K-$66K (Glassdoor est.),"Burbank, CA"
635,Investment Reporting Data Analyst,$42K-$66K (Glassdoor est.),"El Segundo, CA"
636,Jr. Data Analyst (Jr. DA),$42K-$66K (Glassdoor est.),"Glendale, CA"
637,Sr. Business Data Analyst,$42K-$66K (Glassdoor est.),"Santa Monica, CA"
638,Data Reporting Analyst,$42K-$66K (Glassdoor est.),"Pasadena, CA"
639,Pricing Data Analyst,$42K-$66K (Glassdoor est.),"Los Angeles, CA"
640,Senior Data Engineer & Analyst,$42K-$66K (Glassdoor est.),"Pasadena, CA"
641,Principal Data Management Analyst,$42K-$66K (Glassdoor est.),"Woodland Hills, CA"
642,Sr. Data Analyst,$42K-$66K (Glassdoor est.),"Burbank, CA"
643,Sr Data Analyst (DW),$42K-$66K (Glassdoor est.),"Los Angeles, CA"
